Year,Date,Amount,Description,Category,Sold By,Importance
2019,14/11/2019,169.85,FIFA 20 Standard Edition (PS4) - UAE Version,Gaming, Gadgetsbay ⭐️⭐️⭐️⭐️⭐️,Low 
2019,14/11/2019,182.15,Call Of Duty: Modern Warfare 2019 (PS4) - UAE NMC Version,Gaming,G_sPark,Low 
2019,21/10/2019,24.99,Airpods 2 Case with Keychain - Waterproof Silicone Cover Airpods Accessories for AirPods 2 Wireless Charging Case (New - Black),Gadget Acessories,Talent.llc,High
2019,21/10/2019,69.00,"Sunfood, Raw Organic Black Maca Powder, 4 oz (113 g)",Supplements ,Esthetica,Medium
2020,22/01/2020,53.99,Natural Feelings Mens Boxer Shorts Cotton Trunks Breathable Mens Underwear Boxer Briefs,Garments,Natural Feelings Republic,High
2020,29/01/2020,72.64,Love Her Wild: Poems,Books ,Love Her Wild: Poems,Medium
2020,29/01/2020,71.99,Natural Feelings Mens Boxer Shorts Cotton Trunks Breathable Mens Underwear Boxer Briefs,Garments,Natural Feelings Republic,High
2020,15/04/2020,148.00,BSN Syntha 6 Whey Protein Powder 5 lbs - Banana,Supplements ,Centro Mall Middle East,Medium 
2020,15/05/2020,38.99,UPKOCH Stainless Steel Egg Ring Non-Stick Egg Mold Egg Cooker Round Breakfast Household Mold Tool Cooking Tool 2pcs,Kitchen Acessories ,Winkler,Low 
2020,20/05/2020,171.00,"Himalaya, Ashwagandha, Releases Stress & Boosts Energy, 60 Caplets",Supplements ,Elegance-Fashion,High
2020,05/11/2020,34.55,Selfie Ring Light with Cell Phone Holder Stand for Live Stream/Makeup LED Camera Lighting [3-Light Mode] [10-Level Brightness] with Flexible Arms Compatible with iPhone 8 7 6 Plus X Android,Blogging,Selfie Ring Light with Cell Phone Holder Stand for Live Stream/Makeup LED Camera Lighting [3-Light Mode] [10-Level Brightness] with Flexible Arms Compatible with iPhone 8 7 6 Plus X Android,Low 
2020,14/11/2020,40.00,"Tripod, 50 Inch Aluminum Tripod, Video Tripod for Cellphone, Camera, Universal Tripod with Wireless Remote, Compatible with iPhone Xs/Xr/X/8/8 Plus/Samsung Galaxy/Google/GoPro Hero",Blogging,use-STINTY online,Low 
